"Table 1.2. Chain-Type Quantity Indexes for Net Stock of Fixed Assets and Consumer Durable Goods"
"[Index numbers, 2005=100]" 
"Bureau of Economic Analysis" 
"Last Revised on: August 15, 2012"
"Line"," ","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011"
"11","        Structures",23.414,23.648,24.125,24.739,25.510,26.434,27.415,28.541,29.679,30.800,31.961,33.268,34.572,35.871,37.292,38.710,40.279,41.918,43.669,45.524,47.386,49.280,50.964,52.406,53.784,55.039,56.261,57.423,58.530,59.589,60.512,61.621,62.759,63.873,64.790,65.525,66.220,67.099,68.148,69.326,70.561,71.802,73.014,74.407,75.854,77.287,78.651,79.964,81.441,83.141,84.726,86.356,88.153,90.042,92.032,94.189,96.349,98.376,100.000,101.813,103.586,105.341,107.066,108.634,109.804
"12","      Residential",14.684,14.954,15.858,16.665,17.917,19.331,20.601,21.183,21.636,22.221,23.282,25.157,27.275,28.843,30.743,32.872,33.973,35.162,36.432,37.800,39.344,40.849,42.762,44.717,46.609,48.194,49.697,51.116,52.821,54.154,55.414,56.466,57.482,58.770,60.295,61.710,63.406,64.848,66.622,68.514,70.485,72.238,73.778,75.493,76.965,78.582,79.978,81.125,82.542,83.943,89.926,91.350,92.728,93.804,95.100,96.475,97.800,99.021,100.000,100.479,101.129,101.864,102.783,104.417,105.522
"13","  Consumer durable goods",4.386,4.831,5.326,6.008,6.400,6.719,7.187,7.512,8.090,8.418,8.789,8.860,9.213,9.482,9.638,9.996,10.471,11.072,11.896,12.821,13.636,14.666,15.599,16.266,17.170,18.344,19.762,20.647,21.431,22.611,24.012,25.461,26.650,27.154,27.660,28.129,29.436,31.432,33.727,36.359,38.745,41.156,43.348,45.090,45.953,47.172,48.752,50.717,52.728,55.050,57.763,61.390,66.109,71.345,76.589,82.205,87.952,93.948,100.000,105.865,111.658,115.035,116.500,118.899,122.358
" ","Addenda:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"14","  Private and government fixed assets",18.551,18.831,19.201,19.757,20.502,21.279,22.115,22.902,23.775,24.626,25.436,26.159,27.059,27.933,28.828,29.839,30.913,32.110,33.425,34.808,36.104,37.437,38.786,39.972,41.191,42.586,44.127,45.437,46.437,47.587,48.990,50.662,52.421,53.872,55.275,56.340,57.553,59.231,61.033,62.798,64.515,66.204,67.859,69.423,70.638,71.877,73.353,74.956,76.751,78.804,80.982,83.424,86.061,88.824,91.188,93.270,95.408,97.704,100.000,102.571,104.870,106.633,107.431,108.171,109.008
"15","    Nonresidential",19.612,19.585,19.755,20.028,20.756,21.557,22.446,23.214,24.019,24.868,25.700,26.384,27.186,28.025,28.900,29.896,30.916,32.086,33.489,35.104,36.617,38.086,39.558,40.836,41.926,43.125,44.576,45.961,46.996,48.068,49.295,50.885,52.694,54.339,56.017,57.350,58.548,60.323,62.297,64.017,65.633,67.249,68.911,70.560,71.811,72.987,74.358,75.840,77.664,79.774,82.084,84.697,87.539,90.593,92.983,94.756,96.416,98.170,100.000,102.299,104.779,107.011,107.991,108.924,110.044
"16","      Equipment and software",12.597,12.007,11.764,11.615,12.320,13.130,14.030,14.568,15.126,15.676,16.200,16.428,16.893,17.370,17.855,18.545,19.218,20.049,21.113,22.517,23.761,24.900,26.089,27.020,27.619,28.526,29.969,31.434,32.308,33.315,34.731,36.614,38.755,40.363,41.958,42.934,44.077,46.108,48.232,50.127,51.769,53.497,55.411,57.021,58.092,59.305,61.004,63.137,65.750,68.747,72.231,76.452,81.362,86.579,89.960,92.143,94.153,96.666,100.000,104.098,108.055,110.749,110.373,111.212,113.227
"17","      Structures",23.601,23.991,24.465,25.044,25.737,26.480,27.298,28.186,29.122,30.138,31.148,32.140,33.144,34.205,35.322,36.477,37.687,39.027,40.581,42.231,43.835,45.448,47.033,48.486,49.868,51.213,52.624,53.931,55.044,56.125,57.187,58.534,60.079,61.706,63.396,64.918,66.120,67.693,69.530,71.105,72.672,74.189,75.669,77.312,78.646,79.778,80.930,82.012,83.365,84.959,86.625,88.401,90.217,92.245,94.184,95.776,97.288,98.734,100.000,101.667,103.654,105.736,107.152,108.115,108.947
"18","    Residential",17.036,17.771,18.438,19.409,20.181,20.924,21.684,22.502,23.477,24.334,25.113,25.905,26.971,27.906,28.835,29.875,31.048,32.294,33.469,34.476,35.423,36.543,37.699,38.740,40.180,41.908,43.603,44.795,45.737,47.029,48.731,50.539,52.229,53.384,54.360,55.001,56.245,57.777,59.315,61.158,63.034,64.840,66.492,67.930,69.095,70.433,72.074,73.862,75.619,77.593,79.581,81.783,84.130,86.486,88.817,91.323,94.099,97.101,100.000,102.926,104.979,106.070,106.596,107.050,107.455
"19","  Government fixed assets",27.239,25.748,25.263,24.872,25.858,27.227,28.677,29.915,30.955,31.980,33.009,34.219,35.631,36.901,38.404,39.979,41.474,42.992,44.489,46.174,47.939,49.518,50.860,51.979,52.796,53.582,54.419,55.374,56.333,57.288,58.116,59.094,60.198,61.321,62.318,63.218,64.241,65.533,67.129,68.872,70.652,72.263,73.886,75.677,77.351,78.944,80.276,81.437,82.724,84.213,85.563,87.029,88.720,90.454,92.258,94.289,96.340,98.259,100.000,101.926,103.832,105.821,107.742,109.540,110.858
"20","    Federal",66.670,59.137,55.322,51.612,53.757,57.548,61.425,63.746,64.938,66.021,66.877,68.113,70.160,71.651,73.775,76.083,77.629,78.895,79.690,80.879,82.037,82.180,81.835,81.227,79.687,78.454,77.541,77.174,77.022,77.112,77.227,77.426,77.872,78.485,79.388,80.463,82.068,84.075,86.692,89.558,92.571,94.546,96.356,98.213,99.569,100.687,101.072,100.826,100.681,101.093,100.374,99.923,99.684,99.172,98.625,98.679,98.935,99.470,100.000,100.768,101.670,103.120,104.736,106.637,107.781
"21","    State and local",15.152,15.450,15.957,16.568,17.196,17.829,18.536,19.439,20.434,21.440,22.522,23.730,24.950,26.162,27.482,28.838,30.334,31.946,33.678,35.529,37.492,39.534,41.407,43.057,44.589,46.003,47.386,48.737,50.023,51.249,52.311,53.545,54.864,56.151,57.177,58.024,58.870,59.944,61.225,62.627,64.038,65.538,67.105,68.874,70.645,72.387,74.015,75.616,77.350,79.173,81.167,83.217,85.494,87.903,90.402,93.015,95.592,97.914,100.000,102.248,104.426,106.556,108.555,110.328,111.690
